咪咕,#genre#
热剧联播,http://dp.sxtv.top:88/盗源可耻/migu.php?id=rjlb
赛事最经典,http://dp.sxtv.top:88/盗源可耻/migu.php?id=sszjd
体坛名栏汇,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ttmlh
UFC格斗精选,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ufcgdjx
五大联赛经典,http://dp.sxtv.top:88/盗源可耻/migu.php?id=wdlsjd
乡村振兴,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xczx
幸福中国年,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xfzgn
新片放映厅,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xpfyt
英雄联盟赛事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=yxlmss
周杰伦现场,http://dp.sxtv.top:88/盗源可耻/migu.php?id=zjlxc
最强综艺趴,http://dp.sxtv.top:88/盗源可耻/migu.php?id=zqzyp
熊猫01高清,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xmpd
熊猫1,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm1
熊猫2,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm2
熊猫3,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm3
熊猫4,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm4
熊猫5,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm5
熊猫6,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm6
熊猫7,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm7
熊猫8,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm8
熊猫9,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm9
熊猫10,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xm10
龙胜龙脊梯田,http://dp.sxtv.top:88/盗源可耻/migu.php?id=lsljtt
大藤峡,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dtx
邕城,http://dp.sxtv.top:88/盗源可耻/migu.php?id=yc
遇龙河,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ylh
开封金明广场,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kfjmgc
开封清明上河园西门,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kfqmshyxm
开封连霍高速路口,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kflhgsgl
开封鼓楼,http://dp.sxtv.top:88/盗源可耻/migu.php?id=kfgl
武汉光谷,http://dp.sxtv.top:88/盗源可耻/migu.php?id=whgg
武汉江汉关,http://dp.sxtv.top:88/盗源可耻/migu.php?id=whjhg
武汉黄鹤楼,http://dp.sxtv.top:88/盗源可耻/migu.php?id=whhhl


蜀小果,#genre#
CCTV1,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv1
CCTV2,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv2
CCTV3,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv3
CCTV4,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv4
CCTV5,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv5
CCTV5+,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv5p
CCTV6,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv6
CCTV7,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv7
CCTV8,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv8
CCTV9,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv9
CCTV10,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv10
CCTV11,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv11
CCTV12,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv12
CCTV13,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv13
CCTV14,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv14
CCTV15,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv15
CCTV16,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv16
CCTV17,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv17
CCTV-4K 超高清,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv4k
CCTV-16 奥林匹克 4K,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cctv16-4k
4K超高清,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=emdy4k
CETV1,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cetv1
CETV2,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cetv2
CHC动作电影,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chcdz
CHC高清电影,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chcgq
CHC家庭影院,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chcjt
北京卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=bjws
安徽卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ahws
东方卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dfws
东南卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dnws
广东卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gdws
贵州卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gzws
河南卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=hnws
黑龙江卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=hljws
湖北卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=hbws
湖南卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=hunws
吉林卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jlws
江苏卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jsws
江西卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jxws
辽宁卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lnws
山东卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=sdws
深圳卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=szws
四川卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scws
天津卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=tjws
浙江卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=zjws
重庆卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cqws
青海卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=qhws
兵团卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=btws
甘肃卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gsws
广西卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gxws
海南卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=hanws
康巴卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=kbws
内蒙古卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=nmws
山东教育卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=sdjy
山西卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=sxiws
陕西卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=sxws
西藏卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xzws
云南卫视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ynws
凤凰中文,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=fhws
凤凰资讯,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=fhzx
重温经典,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cwjd
新视觉,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xsj
青羊电视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=qyzh
阿坝文艺,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=abwy
阿坝综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=abzh
安岳综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ayzh
安州综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=azzh
巴州,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=baz
宝兴综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=bxzh
北川综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=bchzh
苍溪综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cxzh
茶频道,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cpd
朝天综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chtzh
成都高新区,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chdgx
成都公共,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chdgg
成都新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chdxw
崇州综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chzzh
川网导视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cwds
船山综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=chszh
达川新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dcxw
达州导视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dcds
达州通川,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dztc
达州文化,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dzwh
达州新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dzxw
大邑,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=day
大英新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dyxw
东方财经,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dfcj
动漫秀场,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dmxch
都市剧场,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=dusjc
峨边综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ebzh
峨眉综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=emzh
峨嵋电影,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=emdy
恩阳新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=eyxw
法治天地,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=fztd
涪城综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pczh
甘孜综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gzzh
高县,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gx
珙县新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gxxw
古蔺新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=glxw
广元文化,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=guwh
广元综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=gyzh
洪雅新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=hyxw
夹江新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jjxw
剑阁综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jgzh
金口河综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jkhzh
金牛 标清,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jnbq
金色学堂,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jsxt
金堂,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jit
金鹰纪实,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jyjs
金鹰卡通,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jykt
劲爆体育,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jbty
精品导视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jpds
井研新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jyxw
开江新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=kjxw
康定,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=kd
快乐垂钓,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=klcd
乐山文旅,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lswl
乐山新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lsxw
乐游,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ly
乐至综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lzzh
梨园频道,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lypd
利州综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lzzh
凉山新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lsxw
凉山彝语综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lsyyzh
隆昌综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lczh
庐山综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=lszh
泸定综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ldzh
马边综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=mbzh
眉山公共,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=msgg
眉山综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=mszh
魅力足球,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=mlzq
米易综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=myzh
绵阳科技,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=mykj
绵阳新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=myxw
名山,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ms
木里,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=mul
沐川综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=mczh
南充公共,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ncgg
南充综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=nczh
南江,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=nj
南溪综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=nxzh
攀钢新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pgxw
攀枝花新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pzhxw
彭山综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pszh
彭州综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pzzh
蓬溪新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pxixw
郫县新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pxxw
平昌综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pczh
平武综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pwzh
屏山综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pshzh
蒲江综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=pjzh
青白江综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=jbjzh
青神综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=qszh
邛崃综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=qlzh
渠县新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=qxxw
仁和新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=rhxw
仁寿综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=rszh
荣县综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=rxzh
三台综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=stzh
沙湾融媒,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=swrm
什邡新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=sfxw
生活时尚,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=shss
四川妇女,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scfn
四川经济,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scjj
四川科教,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scjk
四川文化,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scwh
四川乡村,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scxc
四川新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scxw
四川影视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=scys
松潘综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=spzh
遂宁文化,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=snwh
遂宁综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=snzh
天泉新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=tqxw
通江综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=tjzh
万源,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=wy
旺苍综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=wczh
温江综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=wjzh
文物宝库,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=wwbk
五通桥,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=wtq
武术世界,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=wssj
西昌,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xc
西充综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xczh
新都综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xdzh
新津,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xj
兴文,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xw
宣汉综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xhzh
雅安公共,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=yagg
雅安新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=yaxw
盐边,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=yb
盐亭综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ytzh
雁江,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=yj
宜宾导视,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ybds
荥经,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=xjd
营山,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ysxw
岳池,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ycxw
越西综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=yxzh
长宁综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=cnzh
昭化综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=zhzh
中江综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=zjzh
资阳新闻,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=zyxw
资中综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=zzzh
梓潼综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=ztgq
自贡生活,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=zgsh
自贡综合,http://dp.sxtv.top:88/盗源可耻/sxg.php?id=zgzh

陕西广电,#genre#
CCTV1HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5490
CCTV2HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5612
CCTV3HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5611
CCTV4HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5610
CCTV5HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5489
CCTV5+HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5494
CCTV6HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=5609
CCTV7HD,http://dp.sxtv.top:88/盗源可耻/sxgd.php?id=6002
